699499,2692790,"Zambello, Emily",,Z5145,E5425,Z514,05ebbf923efa003ea6893098f543086e
591156,3302017,"Smith Jr., Stephen",,S5326,S3152,,6bd2bde0ce4b6a6e5f9507042121454a
634773,1562312,"Tôgô, Hisayoshi",,T2,H232,,4570b735f22576c6fb9c5ec7c2d0232a
670144,3312218,"Warren, Joe",,W652,J65,W65,4e7fa3fe172b9732854a3472bd0e3690
9186,3494687,"Alexander, William 'Wild Bill'",,A4253,W4543,,ab2a32a1cea53457c0124333bf59ce99
803387,856929,"Otzenköttel, René",,O3252,R5325,,92ab7f0b064e1c373892a948165fe36c
508786,1253639,"Prinz, LeRoy J.",,P6524,L6216,P652,bcb60baa355fd39232f3caa5005c9a8e
413961,4112169,"Mcfayden, Iain",,M2135,I5213,,28094714355ac9661655396f329ec5ae
562363,1386690,"Schaff, Sergio",,S2126,S621,S21,77690ac4bf7acb710dbff77dfc248daf
283682,3262781,"Howes, Kristina Marie",,H2623,K6235,H2,2d42b21c228fae3ac50882a0c81f5453
762597,492987,"Fitzhugh, Nicholas Hudson",,F3252,N2423,F32,adcbba6bfc5ad23ffa88e985354bee0d
429908,1052364,"Four Mills Bros., The",,F6542,T1654,,78a1963e79ddfc2511b6b9471dc4dce3
11564,31841,"Almodovar, Robert E.",,A4531,R1634,,814ae15e1fe8f52c4a82f995389ec322
656651,3037938,"Verna, Michael",,V6524,M2416,V65,7c2f8287a3f65b307470690473d1761e
804694,2216694,"Johnston, Lanier Stefanie Myra",,J5235,L5623,,2242c50481f8d1b36cb76376c85d3dad
13464,36998,"Amelio, Philip J.",,A5414,P4125,A54,5a25fba35443fabe6cb0300cce8925cf
637171,3990546,"Torres, Sheryll",,T6264,S6436,T62,b8ab6f830b8af60c1b5d1b8ee077bd74
331754,821772,"Klein, Timothy D.",,K4535,T5324,K45,b7c43d498226ab865480a2f10bcc5c59
750133,2779269,Dr. Denison,,D6352,,,35861d4ff55d0e3fe834fa181044c0b3
659625,2640352,"Vicenzi, Luciana",,V2524,L2512,V252,097060b1fd957573fc41f2de3cabfe65
481046,1182276,Pandiyan,,P535,,,581924169b9d8f559a170fb5739888b8
210490,2023634,"Hinson, Lora",,H5254,L6525,H525,880f03863b6d3c59facb58b2ffd7263d
99055,3631189,"Cavaliere, Chris",,C1462,C6214,C146,ace889fe5a166515cc045ae8da72c4a4
738972,291043,"II, Emanuel Cleaver",,I5424,E5424,I,36c394afd1707082805e2e7dab2c6a50
146200,1939325,"Smith, Angela De'Chastelai",,S5352,A5243,S53,4ff21bf14dc9d11a0a85720b2e87668a
84792,1858934,"Bykova, Vera",,B216,V6121,B21,3f2755e3dc66b23624e4f922b8d7ed7c
594894,1464687,"Sochane, Patrick",,S2513,P3625,S25,280c7bba1ba5a04fa856b4753923115a
287448,708810,"'The Cobra Snake', Mark Hunter aka",,T2162,M6253,,b284661c6865fde20ad33817fcbd1e85
129290,323353,"Cowles, Julius D.",,C4242,J4232,C42,5495363d0bb2a6a5b75cce246aa4b582
772328,2058155,"Tenney, Nancy",,T52,N5235,T5,fc4686149da8735f3cf89238e5c1a6a4
396195,2277118,"Early, Martha",,E6456,M6364,E64,b1de16ae2906793b5d7c6c350f9d7aab
173158,421542,"Ducker, Fred",,D2616,F6326,D26,0b408258e0f7f3c16849d49a24056f87
885492,1599045,"Valentine, James Burgon",,V4535,J5216,,a050abe54f3cafec9aac9498fe408034
348878,862335,"Lahiri, Shri Ajit",,L6262,S6234,L6,b5970d0a6f6798cd77d97db5f3dc0640
644000,3031639,"Tuzin, Greg",,T2526,G6232,T25,38b0d939904135adf4c3fdd4e319408c
629760,1549133,"Thomas, Elrick",,T5246,E4623,T52,5008a4a7a3c4d499be0e1e7edf1906b5
